ID,Address,City, ZipCode,Bedrooms,Bathrooms,Estimated_Price ,AreaSpace,YearBuilt,Estimated_Rent,Mortgage  ,Price_Per_SQFT,Status
125099991,41895 Cathedral Valley Sq UNIT 308,Aldie,20105,3,2,299000,1544,2014,1900,2823,193,Condo For Sale
68460359,24750 Stone Station Ter,Stone ridge,20105,2,2.5,250000,1280,2003,1700,2823,195,Condo For Sale
68458314,42299 Onyx Ter,Stone ridge,20105,3,2.5,289990,1796,2004,1950,2823,161,Condo For Sale
12500272,8151 Bayonet Way APT 203,Manassas,20109,2,3,199000,1235,1990,1450,1699,161,Condo For Sale
12501743,7932 Calvary Ct # 142,Manassas,20109,2,2,190000,954,1992,1350,1699,199,Condo For Sale
2100337953,11193 Wortham Crest Cir # 59,Manassas,20109,3,3,245000,1600,2008,1750,1699,153,Condo For Sale
51997591,8169 Bayonet Way APT 201,Manassas,20109,2,3,188000,1004,1990,1400,1699,187,Condo For Sale
2117045006,8145 Bayonet Way APT 301,Manassas,20109,2,2,194999,1053,1991,1380,1699,185,Condo For Sale
55706923,11196 Rienzi Pl APT 102,Manassas,20109,2,2,189900,1054,1992,1400,1699,180,Condo For Sale
62697204,8463 Crozier Ct APT 301,Manassas,20110,2,1,135000,930,1989,1250,1789,145,Condo For Sale
89442579,9720 Holmes Pl UNIT 306,Manassas park,20111,2,2,210000,1420,2007,1500,2093,147,Condo For Sale
61204610,13 Hunt Ct,Middleburg,20117,3,3.5,465500,2494,2002,2250,3221,186,Condo For Sale
51788588,14413 Fallscliff Ln # 16,Centreville,20120,3,3,305000,1736,1991,1850,2212,175,Condo For Sale
51828937,6005 Rosebud Ln APT 106,Centreville,20121,2,2,224900,1038,1991,1585,2065,216,Condo For Sale
51829189,14303 Grape Holly Grv APT 36,Centreville,20121,2,2,209800,1108,1994,1600,2065,189,Condo For Sale
51829033,14321 Climbing Rose Way APT 106,Centreville,20121,2,2,214900,1038,1991,1575,2065,207,Condo For Sale
51828965,14309 Climbing Rose Way APT 204,Centreville,20121,2,2,224000,1038,1991,1575,2065,215,Condo For Sale
51864366,13573 Orchard Dr # 3573,Clifton,20124,2,2,234900,1018,1989,1595,3720,230,Condo For Sale
55705716,9704 Seafield Pl,Bristow,20136,2,2,359900,1706,2001,1950,2462,210,Condo For Sale
82557814,20375 Belmont Park Ter UNIT 101,Ashburn,20147,2,3,269900,1440,2007,1800,2677,187,Condo For Sale
12399939,20951 Timber Ridge Ter APT 303,Ashburn,20147,2,2,219900,1019,1991,1500,2677,215,Condo For Sale
68472942,44475 Chamberlain Ter UNIT 207,Ashburn,20147,2,2,325000,2014,2005,1950,2677,161,Condo For Sale
12394791,21104 Crocus Ter,Ashburn,20147,3,4,275000,2500,1989,2000,2677,110,Condo For Sale
12400083,20985 Timber Ridge Ter APT 103,Ashburn,20147,2,1,209500,925,1991,1500,2677,226,Condo For Sale
121983777,21711 Charity Ter,Ashburn,20147,3,2.5,358000,2552,2013,2200,2677,140,Condo For Sale
12399925,20951 Timber Ridge Ter APT 104,Ashburn,20147,2,1,210000,925,1991,1500,2677,227,Condo For Sale
12394139,20595 Cornstalk Ter APT 201,Ashburn,20147,2,1,235000,800,1997,1500,2677,293,Condo For Sale
68472968,44485 Chamberlain Ter UNIT 304,Ashburn,20147,2,2,284900,1612,2005,1795,2677,176,Condo For Sale
110694983,22728 Beacon Crest Ter,Ashburn,20148,3,3,312400,1784,2008,1950,3069,175,Condo For Sale
121986262,43138 Stillwater Ter UNIT 204,Broadlands,20148,3,2,379900,1729,2013,2175,3069,219,Condo For Sale
110697926,42674 Hollyhock Ter,Ashburn,20148,3,2.5,329900,2499,2008,2100,3069,132,Condo For Sale
121656732,43138 Stillwater Ter UNIT 102,Broadlands,20148,3,2,349900,1536,2013,1975,3069,227,Condo For Sale
92399649,42608 Willow Bend Dr,Ashburn,20148,5,5,684900,4015,2011,2796,3069,170,Condo For Sale
68906577,3810 Lightfoot St UNIT 210,Chantilly,20151,2,2,239900,1066,2005,1600,2382,225,Condo For Sale
53448205,25230 Pond View Sq UNIT 102,South riding,20152,2,2,242000,1170,2000,1650,2732,206,Condo For Sale
59796755,25320 Lake Mist Sq UNIT 205,Chantilly,20152,2,1,250000,1055,2001,1595,2732,236,Condo For Sale
12402386,25300 Lake Mist Sq UNIT 103,Chantilly,20152,2,2,275000,1170,1996,1750,2732,235,Condo For Sale
68468131,20804 Noble Ter APT 206,Sterling,20165,3,2,359000,1816,2005,2000,2531,197,Condo For Sale
53445194,46185 Cecil Ter,Sterling,20165,3,3,399000,1708,2001,2200,2531,233,Condo For Sale
12380060,46598 Drysdale Ter APT 201,Sterling,20165,2,2,247500,1138,1994,1599,2531,217,Condo For Sale
12380045,20453 Chesapeake Sq APT 301,Sterling,20165,2,2,272000,1416,1997,1750,2531,192,Condo For Sale
68468130,20804 Noble Ter APT 205,Sterling,20165,3,2,394900,1989,2005,2200,2531,198,Condo For Sale
121982088,42455 Prophecy Ter,Sterling,20166,2,2,289000,1430,2013,1800,2341,202,Condo For Sale
51717617,12915 Alton Sq APT 416,Herndon,20170,2,1,199990,960,1994,1495,2561,208,Condo For Sale
51715267,623 Center St APT 102,Herndon,20170,2,2,199000,1085,1974,1500,2561,183,Condo For Sale
51715488,517 Florida Ave APT 203,Herndon,20170,2,2,199000,1351,1977,1500,2561,147,Condo For Sale
51717674,12913 Alton Sq APT 313,Herndon,20170,2,2,240000,990,1996,1600,2561,242,Condo For Sale
68905514,205 Meeting House Station Sq APT 306,Herndon,20170,2,2,299900,970,2005,1700,2561,309,Condo For Sale
51715348,531 Florida Ave APT T3,Herndon,20170,2,2,204900,1351,1974,1500,2561,151,Condo For Sale
65731336,13111 Marcey Creek Rd # 13111,Herndon,20171,2,2,305000,1800,1999,1311,2680,232,Condo For Sale
72492205,12941 Centre Park Cir APT 216,Herndon,20171,2,2,310000,1800,2005,1136,2680,272,Condo For Sale
72486122,12957 Centre Park Cir APT 405,Herndon,20171,2,2,314500,1800,2005,1031,2680,305,Condo For Sale
53449496,635 Constellation Sq SE STE K,Leesburg,20175,2,2,204990,1495,1999,1078,3036,190,Condo For Sale
68468958,514 Sunset View Ter SE APT 208,Leesburg,20175,2,2,249900,1700,2005,1256,3036,198,Condo For Sale
68468753,512 Sunset View Ter SE UNIT 403,Leesburg,20175,3,2,265500,1849,2005,1256,3036,211,Condo For Sale
