ID,Address,City,ZipCode,Bedrooms,Bathrooms,Estimated_Price ,AreaSpace,YearBuilt,Estimated_Rent,Mortgage  ,Price_Per_SQFT,Status
123978433,41495 Carriage Horse Dr,Aldie,20105,5,4,775000,4600,2015,2999,2823,168,House For Sale
61203879,24265 Old Oak Ln,Aldie,20105,6,5,719000,3904,2003,2419,2823,184,House For Sale
92399062,25185 Great Berkhamsted Dr,Aldie,20105,4,4,670000,5686,2009,2316,2823,117,House For Sale
54521328,40727 Cool Valley Cir,Aldie,20105,5,5,809999,4385,2001,3275,2823,184,House For Sale
121982943,40970 Sweet Thorn Ln,Aldie,20105,5,6,1399000,6082,2015,5709,2823,230,House For Sale
61203887,24128 Grand Ellison Ct,Aldie,20105,5,5,1199000,6421,2005,5105,2823,186,House For Sale
121710132,25585 Emerson Oaks Dr,Aldie,20105,4,3,640000,2954,2014,2900,2823,216,House For Sale
89014401,24969 Devonian Dr,Stone ridge,20105,4,5,625000,3971,2008,2350,2823,157,House For Sale
92397468,41508 Hitchin Ct,Aldie,20105,4,4,639900,3458,2009,2850,2823,185,House For Sale
121984507,24836 Woodland Run Pl,Aldie,20105,5,4,799990,6000,2016,4018,2823,133,House For Sale
61202565,24778 Serpentine Pl,Stone ridge,20105,4,3.5,699000,4180,2004,2328,2823,167,House For Sale
121977452,23608 Roundup Pl,Aldie,20105,4,5,699000,3919,2012,3250,2823,178,House For Sale
119360333,24886 Quimby Oaks Pl,Aldie,20105,6,5,879999,5490,2013,3471,2823,160,House For Sale
12420253,39301 Longhill Ln,Aldie,20105,4,4,939000,5210,1992,3068,2823,180,House For Sale
121828568,24948 Mcnair Pl,Aldie,20105,6,6,674900,4536,2014,2694,2823,148,House For Sale
114441613,24914 Quimby Oaks Pl,Aldie,20105,5,5,759990,4944,2012,3202,2823,153,House For Sale
89012830,24106 Old Carolina Rd,Aldie,20105,3,2,569900,1904,2003,2300,2823,299,House For Sale
72492807,24191 Crooked Oak Ct,Aldie,20105,5,5,769777,6588,2006,3435,2823,116,House For Sale
123980575,24951 First Harvest Ct,Aldie,20105,4,6,849900,5339,2016,3576,2823,159,House For Sale
121977442,41533 Arlington Oaks Dr,Aldie,20105,5,5,784990,5597,2013,3096,2823,140,House For Sale
92398560,25421 Jubilant Dr,Aldie,20105,4,4,635000,3307,2010,2650,2823,192,House For Sale
12416747,41069 John Mosby Hwy,Aldie,20105,3,1,890000,1716,1940,2300,2823,518,House For Sale
82566306,25691 Laughter Dr,Aldie,20105,4,4,640000,4628,2007,2500,2823,138,House For Sale
121710125,41676 Brandenstein Dr,Aldie,20105,4,3,569900,2532,2014,2650,2823,225,House For Sale
121978101,40978 Sweet Thorn Ln,Aldie,20105,5,5,1350000,5873,2014,5820,2823,229,House For Sale
2101288319,1 Willowsford Rd,Aldie,20105,4,4,654990,3500,2016,2675,2823,187,House For Sale
61203898,24051 Laceys Tavern Ct,Aldie,20105,5,5,999900,5954,2006,4225,2823,167,House For Sale
68467927,41877 Cordgrass Cir,Stone ridge,20105,6,5,697000,5804,2005,2368,2823,120,House For Sale
58485723,1034 Old Bridge Rd,Amissville,20106,3,4,499000,3800,1994,2368,1755,131,House For Sale
12220836,304 Glen Mill Ln,Amissville,20106,3,1,149900,928,1964,1150,1755,161,House For Sale
65229686,5459 Docs Rd,Viewtown,20106,4,3,465000,2743,2004,2542,1755,169,House For Sale
52012665,108 S Poes Rd,Amissville,20106,2,2,104900,1953,1927,1300,1755,53,House For Sale
12221101,4496 Waterford Rd,Amissville,20106,2,1,279000,528,1933,1250,1755,528,House For Sale
52012726,152 Hinsons Ford Rd,Amissville,20106,3,3,499000,3172,1997,2000,1755,157,House For Sale
