     ID,        Address,       City,ZipCode,Bedrooms,Bathrooms,Estimated_Price ,AreaSpace,YearBuilt,Estimated_Rent,Mortgage  , Price_Per_SQFT,   Status
124861226,41910 Beckett Farms Ter,Aldie,20105,3,3,499900,2004,2016,2249,2823,249,Townhouse For Sale
2105919808,24682 Lynette Springs Ter,Aldie,20105,3,3,299900,2696,2013,1975,2823,111,Townhouse For Sale
121916232,25692 Spring Race Ter,Aldie,20105,3,4,425000,1936,2014,2175,2823,219,Townhouse For Sale
72491272,24637 Rosebay Ter,Aldie,20105,3,3,345000,2100,2006,1950,2823,164,Townhouse For Sale
12455235,10201 Farragut Ct,Manassas,20109,3,2.5,235000,1320,1973,1400,1699,178,Townhouse For Sale
52007808,11114 Wainwright Pl,Manassas,20109,3,3,314900,2232,2000,1900,1699,141,Townhouse For Sale
51996498,11312 Kessler Pl,Manassas,20109,3,4,279999,1974,1991,1800,1699,141,Townhouse For Sale
51997634,11113 Halterpath Trl,Manassas,20109,3,2.5,219900,1627,1990,1700,1699,135,Townhouse For Sale
80604380,8916 Brewer Creek Pl,Manassas,20109,3,3,317999,2232,2006,1900,1699,142,Townhouse For Sale
12498310,10183 Jamaica Ln,Manassas,20109,2,3,240000,1932,1989,1750,1699,124,Townhouse For Sale
12504189,7654 Helmsdale Pl,Manassas,20109,3,3,295000,1960,1995,1800,1699,150,Townhouse For Sale
12455156,7552 Quail Run Ln,Manassas,20109,3,3,220000,1848,1972,1700,1699,119,Townhouse For Sale
12455269,10280 Cub Run Ct,Manassas,20109,3,2.5,239900,1544,1976,1650,1699,155,Townhouse For Sale
12454962,7903 Meadow Ct,Manassas,20109,3,3,184900,1372,1975,1450,1699,134,Townhouse For Sale
12455088,7510 Remington Rd,Manassas,20109,4,3,249900,1515,1972,1650,1699,164,Townhouse For Sale
12497399,8036 Hilliard Dr,Manassas,20109,3,4,315000,2000,1988,1850,1699,157,Townhouse For Sale
62697295,9438 Teaberry Ct,Manassas,20110,3,3,234990,1476,1994,1600,1789,159,Townhouse For Sale
58347860,9618 Aspen Pl,Manassas,20110,3,4,185000,1170,1964,1495,1789,158,Townhouse For Sale
62697847,9001 Sandalwood Dr # C,Manassas,20110,2,2,172000,1136,1983,1400,1789,151,Townhouse For Sale
62696896,9464 Fringe Tree Ln,Manassas,20110,3,5,222000,1134,1992,1550,1789,195,Townhouse For Sale
58349415,10301 Calypso Dr,Manassas,20110,4,4,274000,1960,1995,1850,1789,139,Townhouse For Sale
58347952,9271 Byrd Dr,Manassas,20110,3,2,199900,1170,1966,1450,1789,170,Townhouse For Sale
58352157,8419 Piney Point Ct,Manassas,20110,3,5,245000,2310,1974,1800,1789,106,Townhouse For Sale
58349306,9183 Burnet Ct,Manassas,20110,3,4,319900,2200,1989,1800,1789,145,Townhouse For Sale
58348030,9747 Bragg Ln,Manassas,20110,3,3,210000,1080,1965,1495,1789,194,Townhouse For Sale
12497297,7515 Tendring Trl,Manassas,20111,3,4,268000,1652,1989,1750,2093,162,Townhouse For Sale
